name,place_id,rating_place,price_level,user_ratings_total,lat_place,lng_place
Taro's Fish,ChIJ_cjZeLbS1IkRr1tdWFQL6Ms,4.6,0,505,43.7701052,-79.37467989999999
360 The Restaurant at the CN Tower,ChIJS6TSi9Y0K4gRhnLajfL7RVY,4.1,4,2708,43.64278789999999,-79.3871231
Tundra Restaurant and Bar,ChIJJd9P-800K4gRvo9AtRfncgE,3.9,2,124,43.6497723,-79.3857659
Jump Restaurant,ChIJMT8zEy3L1IkRndhPq4mIQXk,4.2,3,594,43.6479063,-79.3780646
Aroma Fine Indian Cuisine,ChIJJUZD6dA0K4gR7PDLnm45h94,3.9,2,1209,43.646273,-79.389817
Little Anthony's,ChIJ36QBlc00K4gRe0jDQNV5ey0,4.2,2,352,43.6503956,-79.3843577
Swiss Chalet Rotisserie & Grill,ChIJg6JuapY0K4gRZLTfSyN-XQc,3.5,2,68,43.6466072,-79.3799559
The Fifth & Terrace,ChIJ92TkJNA0K4gRjsJjl0N-1Uo,4.4,3,204,43.649167,-79.38943290000002
Harvey's,ChIJh8GnFC3L1IkROeYi8l2Ku8w,3.9,1,162,43.646441,-79.380079
Harvey's,ChIJB8GLWAE1K4gRyOzqAEdaXjc,4.1,1,335,43.63996270000001,-79.4188483
Harvey's,ChIJ_4iSRS3L1IkRGbHQInRKkrI,3.8,1,60,43.647903,-79.3794018
Planta Queen,ChIJ_0mXOc40K4gRJlo64KUzjvk,4.3,3,553,43.6506177,-79.3882088
Swiss Chalet Rotisserie & Grill,ChIJV_L55ETS1IkRXJLlpunl1mY,3.2,2,346,43.639252,-79.386118
Bosk,ChIJt-miAdI0K4gR41iJsE1PyYE,4.3,4,210,43.648939,-79.3858482
SARA,ChIJvwizah81K4gRiH3gulPWMK8,4.6,0,69,43.6452005,-79.4006612
Harvey's Restaurant,ChIJK-_F9Sk1K4gRVmVKvy_mttQ,3.2,1,65,43.6390936,-79.3861029
Osgoode Hall Restaurant,ChIJp0c4xc00K4gRE_H0F-2AXN4,4.6,2,89,43.652189,-79.3851416
Canoe,ChIJKSp50NI0K4gR6C6L3yYqpYY,4.4,4,1528,43.6475793,-79.38090369999999
TOCA,ChIJu-5E3tM0K4gRJWzuyx4ofWY,4.4,4,266,43.645419,-79.387062
The Chase,ChIJ6-AX2TLL1IkRKyaUu8mAcAY,4.4,2,150,43.6510601,-79.37934899999999
Gusto 101,ChIJm5_QX940K4gRdtM5bxGf3g4,4.3,2,2303,43.6452124,-79.4000748
