restaurant_id,city_id,name,international_phone_number,formatted_address,latitude,longitude
558,1,Paramount Fine Foods,14163663600,"253 Yonge St, Toronto, ON M5B 1N8, Canada",43.655068,-79.380018
559,1,Paramount Fine Foods,14165515527,"2311 Yonge St, Toronto, ON M4P 2C6, Canada",43.7078265,-79.3983163
560,1,Mike's Fish & Chips,14164294665,"2162 Danforth Ave, Toronto, ON M4C 1K3, Canada",43.686325,-79.310644
561,1,Tutti Matti,14165978839,"364 Adelaide St W, Toronto, ON M5V 1R7, Canada",43.6472167,-79.3937516
562,1,La Boheme Cafe,14164892233,"2481 Yonge St, Toronto, ON M4P 2H6, Canada",43.711706,-79.399097
563,1,Nando's,14164615551,"671 Danforth Ave Unit A, Toronto, ON M4J 1L3, Canada",43.6788173,-79.3445095
564,1,Dumpling King,14163210888,"3290 Midland Ave #2, Scarborough, ON M1V 3Z9, Canada",43.8066133,-79.2895159
565,1,Market Street Catch,14163632020,"14 Market St, Toronto, ON M5E 1C3, Canada",43.6484979,-79.3720712
566,1,TOCA,14165728008,"181 Wellington St W, Toronto, ON M5V 3G7, Canada",43.645419,-79.387062
567,1,Uno Mustachio,14163678325,"Market, 95 Front St E, Toronto, ON M5E 1C3, Canada",43.64873,-79.3715409
568,1,Paddingtons Pump,14163686955,"91 Front St E, Toronto, ON M5E 1C3, Canada",43.6490511,-79.3718439
569,1,Millie Patisserie & Creamery,14165960063,"12 Oxley St #101, Toronto, ON M5V 3P7, Canada",43.6465049,-79.3942784
570,1,House of Gourmet,14162170167,"484 Dundas St W, Toronto, ON M5T 1G9, Canada",43.6532243,-79.397213
571,1,Christina's,14164634418,"492 Danforth Ave, Toronto, ON M4K 1P5, Canada",43.678293,-79.349187
572,1,Chandni Chowk,14164694466,"1430 Gerrard St E, Toronto, ON M4L 1Z6, Canada",43.6722972,-79.3224952
573,1,Thoroughbred,14165519221,"304 Richmond St W, Toronto, ON M5V 1X2, Canada",43.6489916,-79.3916967
574,1,Greenwood Smokehouse BBQ,14164692270,"673 Danforth Ave, Toronto, ON M4J 1L3, Canada",43.6788748,-79.3442344
575,1,The Keg,14163670685,"26 The Esplanade, Toronto, ON M5E 1A7, Canada",43.6467121,-79.3747676
576,1,Bar Wellington,14163418880,"520 Wellington St W, Toronto, ON M5V 1E3, Canada",43.643308,-79.399379
577,1,Tosto Quickfire Pizza Pasta,14163220609,"609 Roehampton Ave, Toronto, ON M4P 1S7, Canada",43.7115735,-79.3788051
578,1,Shamrock Burgers,14162820121,"6109 Kingston Rd, Scarborough, ON M1C 1K5, Canada",43.7838306,-79.1682945
579,1,La Sani Grill,14164817866,"259 Kingston Rd E, Ajax, ON L1Z 1A3, Canada",43.863771,-79.0130369
580,1,The Rex Hotel Jazz and Blues Bar,14165982475,"194 Queen St W, Toronto, ON M5V 1Z1, Canada",43.6506609,-79.3885114
581,1,Sky Dragon,14164084999,"280 Spadina Ave, Toronto, ON M5T 1H2, Canada",43.6525865,-79.3984452
582,1,Daio,14162602116,"45 Carlton St, Toronto, ON M5B 2H9, Canada",43.6614015,-79.3809105
583,1,King Street Social Kitchen & Bar - Hyatt Regency Toronto,14165952525,"370 King St W, Toronto, ON M5V 1J9, Canada",43.6463722,-79.3912357
